timestamp,index,name,utilization_gpu_pct,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2026/09/08 07:20:18.168, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:20.256, 0, Tesla V100-SXM2-32GB, 86, 3309, 32768, 121.35, 37
2026/09/08 07:20:22.310, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:20:24.362, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:26.419, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:20:28.455, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:30.524, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:20:32.573, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:34.624, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:20:36.715, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:38.807, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:40.895, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:20:42.984, 0, Tesla V100-SXM2-32GB, 74, 3309, 32768, 201.29, 38
2026/09/08 07:20:45.076, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:20:47.125, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:20:49.192, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:20:51.242, 0, Tesla V100-SXM2-32GB, 26, 3309, 32768, 135.06, 38
2026/09/08 07:20:53.294, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:20:55.384, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:20:57.438, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:20:59.509, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:01.581, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:21:03.648, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:05.714, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 78.09, 37
2026/09/08 07:21:07.779, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:09.852, 0, Tesla V100-SXM2-32GB, 76, 3309, 32768, 111.99, 39
2026/09/08 07:21:11.944, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:21:13.998, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:16.092, 0, Tesla V100-SXM2-32GB, 17, 3309, 32768, 66.74, 36
2026/09/08 07:21:18.142, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:20.231, 0, Tesla V100-SXM2-32GB, 72, 3309, 32768, 66.74, 37
2026/09/08 07:21:22.299, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:24.350, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:21:26.396, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:28.463, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:30.531, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:21:32.600, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:21:34.650, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:21:36.715, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:21:38.803, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:40.892, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:42.979, 0, Tesla V100-SXM2-32GB, 17, 3309, 32768, 140.48, 37
2026/09/08 07:21:45.028, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:47.116, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 36
2026/09/08 07:21:49.166, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:51.213, 0, Tesla V100-SXM2-32GB, 56, 3309, 32768, 137.61, 38
2026/09/08 07:21:53.263, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:55.318, 0, Tesla V100-SXM2-32GB, 24, 3309, 32768, 66.74, 37
2026/09/08 07:21:57.408, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:21:59.479, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:22:01.530, 0, Tesla V100-SXM2-32GB, 5, 3309, 32768, 66.74, 36
2026/09/08 07:22:03.620, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:22:05.668, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 36
2026/09/08 07:22:07.718, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.24, 37
2026/09/08 07:22:09.787, 0, Tesla V100-SXM2-32GB, 54, 3309, 32768, 67.23, 37
2026/09/08 07:22:11.838, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:22:13.908, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 185.18, 41
2026/09/08 07:22:16.003, 0, Tesla V100-SXM2-32GB, 99, 3309, 32768, 67.72, 40
2026/09/08 07:22:18.075, 0, Tesla V100-SXM2-32GB, 69, 3309, 32768, 67.72, 40
2026/09/08 07:22:20.160, 0, Tesla V100-SXM2-32GB, 9, 3309, 32768, 108.12, 40
2026/09/08 07:22:22.209, 0, Tesla V100-SXM2-32GB, 16, 3309, 32768, 200.79, 42
2026/09/08 07:22:24.295, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 191.94, 43
2026/09/08 07:22:26.384, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 170.41, 43
2026/09/08 07:22:28.432, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 197.35, 44
2026/09/08 07:22:30.480, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 179.15, 44
2026/09/08 07:22:32.533, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 122.34, 44
2026/09/08 07:22:34.624, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 69.21, 43
2026/09/08 07:22:36.721, 0, Tesla V100-SXM2-32GB, 19, 3309, 32768, 69.70, 42
2026/09/08 07:22:38.774, 0, Tesla V100-SXM2-32GB, 16, 3309, 32768, 175.33, 43
2026/09/08 07:22:40.839, 0, Tesla V100-SXM2-32GB, 24, 3309, 32768, 192.92, 44
2026/09/08 07:22:42.909, 0, Tesla V100-SXM2-32GB, 16, 3309, 32768, 198.83, 45
2026/09/08 07:22:44.963, 0, Tesla V100-SXM2-32GB, 95, 3309, 32768, 186.53, 45
2026/09/08 07:22:47.051, 0, Tesla V100-SXM2-32GB, 96, 3309, 32768, 175.82, 45
2026/09/08 07:22:49.116, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 191.45, 46
2026/09/08 07:22:51.184, 0, Tesla V100-SXM2-32GB, 100, 3309, 32768, 189.97, 46
2026/09/08 07:22:53.234, 0, Tesla V100-SXM2-32GB, 3, 3309, 32768, 68.71, 42
2026/09/08 07:22:55.327, 0, Tesla V100-SXM2-32GB, 4, 3309, 32768, 57.40, 41
2026/09/08 07:22:57.396, 0, Tesla V100-SXM2-32GB, 3, 3309, 32768, 57.40, 40
2026/09/08 07:22:59.446, 0, Tesla V100-SXM2-32GB, 3, 3309, 32768, 68.22, 41
2026/09/08 07:23:01.532, 0, Tesla V100-SXM2-32GB, 53, 3309, 32768, 69.21, 41
2026/09/08 07:23:03.624, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 68.22, 40
2026/09/08 07:23:05.674, 0, Tesla V100-SXM2-32GB, 26, 3309, 32768, 146.39, 41
2026/09/08 07:23:07.725, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 68.22, 40
2026/09/08 07:23:09.816, 0, Tesla V100-SXM2-32GB, 55, 3309, 32768, 180.25, 42
2026/09/08 07:23:11.904, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.77, 40
2026/09/08 07:23:13.955, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 40
2026/09/08 07:23:16.024, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 68.22, 40
2026/09/08 07:23:18.079, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 40
2026/09/08 07:23:20.148, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 39
2026/09/08 07:23:22.235, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 40
2026/09/08 07:23:24.304, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:23:26.354, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:23:28.424, 0, Tesla V100-SXM2-32GB, 5, 3309, 32768, 67.28, 39
2026/09/08 07:23:30.500, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:23:32.591, 0, Tesla V100-SXM2-32GB, 83, 3309, 32768, 90.92, 40
2026/09/08 07:23:34.684, 0, Tesla V100-SXM2-32GB, 5, 3309, 32768, 67.23, 39
2026/09/08 07:23:36.752, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 39
2026/09/08 07:23:38.802, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:23:40.891, 0, Tesla V100-SXM2-32GB, 50, 3309, 32768, 62.83, 39
2026/09/08 07:23:42.964, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 39
2026/09/08 07:23:45.032, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 115.93, 39
2026/09/08 07:23:47.065, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.28, 39
